# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Oct  5 12:53:52 2024
#
# User preference: *
#
# CONSTRAINT:  order by pl_orbsmax asc
#
# COLUMN pl_name:        Planet Name
# COLUMN disc_telescope: Discovery Telescope
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN sy_dist:        Distance [pc]
#
loc_rowid,pl_name,disc_telescope,pl_orbsmax,pl_rade,st_rad,sy_dist
1749,K2-400 b,0.95 m Kepler Telescope,,1.163,0.38,62.3804000
1750,K2-401 b,0.95 m Kepler Telescope,,2.262,0.68,200.7270000
1751,K2-402 b,0.95 m Kepler Telescope,,2.678,1.28,523.0550000
1752,K2-403 b,0.95 m Kepler Telescope,,5.333,0.89,246.5990000
1753,K2-404 b,0.95 m Kepler Telescope,,2.530,0.55,121.6300000
1754,K2-405 b,0.95 m Kepler Telescope,,4.569,0.77,197.2340000
1755,K2-406 b,0.95 m Kepler Telescope,,4.602,0.96,85.3751000
1756,K2-407 b,0.95 m Kepler Telescope,,1.283,0.93,218.3760000
1757,K2-407 c,0.95 m Kepler Telescope,,1.360,0.93,218.3760000
1758,K2-408 b,0.95 m Kepler Telescope,,1.677,0.78,162.3060000
1759,K2-409 b,0.95 m Kepler Telescope,,2.482,1.23,431.0310000
1772,K2-43 c,0.95 m Kepler Telescope,,2.420,0.54,182.5360000
1821,K2-80 d,0.95 m Kepler Telescope,,2.552,0.84,200.8020000
1862,KIC 10001893 b,0.95 m Kepler Telescope,,,0.18,1672.9400000
1863,KIC 10001893 c,0.95 m Kepler Telescope,,,0.18,1672.9400000
1864,KIC 10001893 d,0.95 m Kepler Telescope,,,0.18,1672.9400000
1865,KIC 10068024 b,0.95 m Kepler Telescope,,13.400,1.57,721.1050000
1866,KIC 10525077 b,0.95 m Kepler Telescope,,5.500,1.01,1461.1500000
1868,KIC 3558849 b,0.95 m Kepler Telescope,,6.900,1.01,1215.7000000
1870,KIC 5479689 b,0.95 m Kepler Telescope,,14.200,0.89,454.9500000
1871,KIC 7917485 b,0.95 m Kepler Telescope,,12.400,2.01,1382.8900000
1872,KIC 8121913 b,0.95 m Kepler Telescope,,13.400,2.23,707.3030000
1873,KIC 8540376 b,0.95 m Kepler Telescope,,4.100,1.26,1072.3000000
1874,KIC 8540376 c,0.95 m Kepler Telescope,,2.400,1.26,1072.3000000
1923,KMT-2019-BLG-1953L b,1.6 m wide-field telescope,,14.100,,7040.0000000
1933,KMT-2021-BLG-0322L b,1.6 m wide-field telescope,,12.700,,6600.0000000
2710,Kepler-1513 c,Multiple Telescopes,,11.000,0.95,349.2470000
2968,Kepler-1705 c,0.95 m Kepler Telescope,,2.050,1.26,1633.4900000
3221,Kepler-19 d,3.58 m Telescopio Nazionale Galileo,,5.060,0.86,218.5620000
3983,Kepler-432 c,1.5 m Tillinghast Reflector Telescope,,13.300,4.06,848.0230000
4016,Kepler-451 c,Multiple Telescopes,,13.500,0.20,396.3320000
4017,Kepler-451 d,Multiple Telescopes,,13.500,0.20,396.3320000
4493,Kepler-80 g,0.95 m Kepler Telescope,,1.130,0.68,369.4510000
4663,Kepler-93 c,10 m Keck I Telescope,,,0.92,95.9115000
4715,Kepler-97 c,10 m Keck I Telescope,,,0.98,400.9070000
4782,M62H b,MeerKAT Telescope,,,,
4809,MOA-2019-BLG-008L b,1.8 m MOA Telescope,,12.200,,2700.0000000
4820,NGC 2682 Sand 978 b,Multiple Telescopes,,13.300,21.02,821.9180000
4821,NGC 2682 YBP 1194 b,Multiple Telescopes,,12.300,0.99,872.9200000
4822,NGC 2682 YBP 1514 b,Multiple Telescopes,,14.000,0.89,914.2210000
4823,NGC 2682 YBP 401 b,3.6 m ESO Telescope,,14.300,1.22,830.8220000
4853,NY Vir c,0.51 m Telescope,,12.800,0.15,544.0240000
5000,SR 12 AB c,1.4 m IRSF Telescope,,12.300,1.10,112.3172158
5045,TOI-1224 c,0.1 m TESS Telescope,,2.884,0.40,37.3312000
5087,TOI-139 b,0.1 m TESS Telescope,,2.457,0.70,42.4061000
5103,TOI-1450 A b,0.1 m TESS Telescope,,1.130,0.48,22.4467000
5104,TOI-1450 A c,8.19 m Gemini North Telescope,,1.130,0.48,22.4467000
5108,TOI-1468 b,0.1 m TESS Telescope,,1.280,0.34,24.7399000
5109,TOI-1468 c,0.1 m TESS Telescope,,2.064,0.34,24.7399000
5115,TOI-1516 b,0.1 m TESS Telescope,,15.244,1.14,247.0540000
5121,TOI-1634 c,Multiple Telescopes,,,0.45,35.2736000
5191,TOI-2018 b,0.1 m TESS Telescope,,2.268,0.62,27.9956000
5194,TOI-2046 b,0.1 m TESS Telescope,,16.141,1.21,289.6680000
5195,TOI-2048 b,0.1 m TESS Telescope,,2.610,0.79,116.5670000
5223,TOI-2184 b,0.1 m TESS Telescope,,11.400,2.90,788.3170000
5225,TOI-2194 b,0.1 m TESS Telescope,,1.989,0.69,19.5711000
5236,TOI-2337 b,0.1 m TESS Telescope,,10.088,3.22,536.0460000
5253,TOI-2443 b,0.1 m TESS Telescope,,2.773,0.73,23.9258000
5256,TOI-2459 b,0.1 m TESS Telescope,,2.953,0.68,36.6113000
5264,TOI-2545 b,0.1 m TESS Telescope,,2.750,1.25,107.1180000
5275,TOI-2669 b,0.1 m TESS Telescope,,19.728,4.10,393.4430000
5292,TOI-3082 b,0.1 m TESS Telescope,,3.662,0.68,113.0480000
5334,TOI-4308 b,0.1 m TESS Telescope,,2.419,0.79,108.9320000
5338,TOI-4329 b,0.1 m TESS Telescope,,16.813,2.31,717.1280000
5343,TOI-4379 b,0.1 m TESS Telescope,,16.690,1.98,645.1580000
5360,TOI-4582 b,0.1 m TESS Telescope,,10.536,2.50,383.8460000
5374,TOI-500 c,3.6 m ESO Telescope,,2.090,0.68,47.3924000
5375,TOI-500 d,3.6 m ESO Telescope,,6.350,0.68,47.3924000
5376,TOI-500 e,3.6 m ESO Telescope,,3.990,0.68,47.3924000
5377,TOI-5076 b,0.1 m TESS Telescope,,3.200,0.78,82.8570000
5382,TOI-5174 b,0.1 m TESS Telescope,,5.351,1.09,197.2430000
5387,TOI-5238 b,0.1 m TESS Telescope,,5.220,1.02,290.6460000
5398,TOI-544 c,3.6 m ESO Telescope,,4.920,0.62,41.1166000
5410,TOI-5704 b,0.1 m TESS Telescope,,3.227,0.76,89.6370000
5413,TOI-5803 b,0.1 m TESS Telescope,,3.273,0.76,84.0126000
5415,TOI-6029 b,0.1 m TESS Telescope,,14.392,2.34,603.1190000
5421,TOI-6255 b,0.1 m TESS Telescope,,1.079,0.37,20.3167000
5429,TOI-672 b,0.1 m TESS Telescope,,5.260,0.54,66.9071000
5469,TOI-913 b,0.1 m TESS Telescope,,2.453,0.73,65.1769000
5523,WASP-107 c,Multiple Telescopes,,13.200,0.67,64.7414000
5525,WASP-110 b,8.2 m ESO VLT UT1 Antu Telescope,,13.877,0.86,274.9600000
5537,WASP-126 c,0.1 m TESS Telescope,,9.380,1.27,216.5260000
5749,pi Men d,3.6 m ESO Telescope,,3.720,1.19,18.2702000
4976,PSR J1719-1438 b,64 m Parkes Radio Telescope,0.004400,,,1200.0000000
1401,K2-137 b,0.95 m Kepler Telescope,0.005800,0.640,0.29,98.8765000
1987,KOI-55 b,0.95 m Kepler Telescope,0.006000,0.759,0.20,1231.0200000
3965,Kepler-42 c,0.95 m Kepler Telescope,0.006000,0.730,0.17,40.0595000
4764,LHS 3844 b,0.1 m TESS Telescope,0.006220,1.303,0.19,14.8846000
5254,TOI-2445 b,0.1 m TESS Telescope,0.006400,1.250,0.27,48.5820000
249,GJ 367 b,0.1 m TESS Telescope,0.007090,0.699,0.46,9.4126300
5099,TOI-1442 b,0.1 m TESS Telescope,0.007100,1.170,0.31,41.1659000
4999,SPECULOOS-3 b,Multiple Telescopes,0.007330,0.977,0.12,
1411,K2-141 b,0.95 m Kepler Telescope,0.007470,1.510,0.68,61.8736000
1988,KOI-55 c,0.95 m Kepler Telescope,0.007600,0.867,0.20,1231.0200000
1986,KOI-4777.01,0.95 m Kepler Telescope,0.008000,0.510,0.40,172.2450000
5355,TOI-4527.01,0.1 m TESS Telescope,0.008332,0.909,0.49,18.1037000
2833,Kepler-1604 b,0.95 m Kepler Telescope,0.008900,1.410,0.76,541.1890000
1526,K2-22 b,0.95 m Kepler Telescope,0.009000,2.300,0.58,243.8360000
4459,Kepler-78 b,0.95 m Kepler Telescope,0.009010,1.201,0.75,124.3760000
198,GJ 1252 b,0.1 m TESS Telescope,0.009150,1.193,0.39,20.3730000
1392,K2-131 b,0.95 m Kepler Telescope,0.009360,1.690,0.76,152.5090000
5233,TOI-2260 b,0.1 m TESS Telescope,0.009700,1.620,0.94,101.2510000
4767,LP 791-18 b,0.1 m TESS Telescope,0.009780,1.212,0.18,26.4927000
5705,Wolf 327 b,0.1 m TESS Telescope,0.010000,1.240,0.41,28.5321000
4977,PSR J2322-2650 b,64 m Parkes Radio Telescope,0.010200,13.900,,230.0000000
5402,TOI-561 b,0.1 m TESS Telescope,0.010600,1.425,0.84,85.7990000
5162,TOI-1798.02,0.1 m TESS Telescope,0.010700,1.399,0.79,113.1810000
5414,TOI-6008 b,0.1 m TESS Telescope,0.010777,1.030,0.24,23.1008000
5196,TOI-206 b,0.1 m TESS Telescope,0.011200,1.300,0.35,47.7465000
5335,TOI-431 b,0.1 m TESS Telescope,0.011300,1.280,0.73,32.5686000
5128,TOI-1685 b,0.1 m TESS Telescope,0.011380,1.468,0.46,37.6153000
2288,Kepler-1203 b,0.95 m Kepler Telescope,0.011400,1.060,0.61,317.0220000
3160,Kepler-1855 b,0.95 m Kepler Telescope,0.011500,1.216,0.36,
5475,TRAPPIST-1 b,0.60 m Transiting Planets and Planetesimals Small Telescope,0.011540,1.116,0.12,12.4298888
5023,TOI-1075 b,0.1 m TESS Telescope,0.011590,1.791,0.58,61.4592000
3964,Kepler-42 b,0.95 m Kepler Telescope,0.011600,0.780,0.17,40.0595000
4502,Kepler-808 b,0.95 m Kepler Telescope,0.011600,1.460,0.71,321.0000000
5101,TOI-1444 b,0.1 m TESS Telescope,0.011600,1.418,0.91,125.4630000
1762,K2-413 b,0.95 m Kepler Telescope,0.011700,0.760,0.70,285.1620000
5373,TOI-500 b,0.1 m TESS Telescope,0.011890,1.166,0.68,47.3924000
4775,LTT 3780 b,0.1 m TESS Telescope,0.011950,1.325,0.38,21.9814000
2783,Kepler-1566 b,0.95 m Kepler Telescope,0.012100,0.790,0.81,466.5860000
5166,TOI-1807 b,0.1 m TESS Telescope,0.012200,1.497,0.75,42.5775000
5396,TOI-540 b,0.1 m TESS Telescope,0.012230,0.903,0.19,14.0022000
3265,Kepler-1932 b,0.95 m Kepler Telescope,0.012300,1.515,0.82,713.7330000
4759,LHS 1678 b,0.1 m TESS Telescope,0.012390,0.685,0.33,19.8782000
2320,Kepler-1228 b,0.95 m Kepler Telescope,0.012500,1.540,0.74,515.4530000
4531,Kepler-828 b,0.95 m Kepler Telescope,0.012500,1.510,0.77,575.3220000
2161,Kepler-1107 b,0.95 m Kepler Telescope,0.012600,1.340,0.82,428.7980000
1530,K2-223 b,0.95 m Kepler Telescope,0.012700,0.890,1.00,198.6040000
4740,Kepler-990 c,0.95 m Kepler Telescope,0.012700,1.530,1.08,802.1630000
2440,Kepler-1317 b,0.95 m Kepler Telescope,0.012800,1.560,0.79,728.3030000
3187,Kepler-1873 b,0.95 m Kepler Telescope,0.012800,1.626,0.79,820.9570000
2721,Kepler-1520 b,0.95 m Kepler Telescope,0.012900,5.770,0.71,607.9170000
1827,K2-85 b,0.95 m Kepler Telescope,0.013000,1.200,0.68,97.2179000
